# List of subjects and correlatives for the plan << Sistemas 2008 >>,,,,,,
# <-- used for comments,,,,,,
#,,,,,,
#,,,,,,
#level,id,name,acronym,regulars_to_enroll,passed_to_enroll,passed_to_take_final
1,1,analisis matematico I,,,,
1,2,algebra y geometria analitica,,,,
1,3,matematica discreta,,,,
1,4,sistemas y organizaciones,,,,
1,5,algoritmo y estructuras de datos,,,,
1,6,arquitectura de computadoras,,,,
1,7,fisica I,,,,
1,8,ingles I,,,,
2,9,quimica,,,,
2,10,analisis matematico II,,(1; 2),,(1; 2)
2,11,fisica II,,(1; 7),,(1; 7)
2,12,analisis de sistemas,,(4; 5),,(4; 5)
2,13,sintaxis y semantica de los lenguajes,,(3; 5),,(3; 5)
2,14,paradigmas de programacion,,(3; 5),,(3; 5)
2,15,sistemas operativos,,(3; 5; 6),,(3; 5; 6)
2,16,sistemas de representacion,,,,
3,17,probabilidades y estadisticas,,(1; 2),,(1; 2)
3,18,diseño de sistemas,,(12; 14),(3; 4; 5),(12; 14)
3,19,comunicaciones,,(6; 10; 11),(1; 2; 7),(6; 10; 11)
3,20,Matematica superior,,10,(1;2),10
3,21,gestion de datos,,(12; 13; 14),(3; 4; 5),(12; 13; 14)
3,22,ingenieria y sociedad,,,,
3,23,economia,,12,(4; 5),12
3,24,ingles II,,,8,
4,25,redes de informacion,,(15; 19),(3; 5; 6; 10; 11),(15; 19)
4,26,administracion de recursos,,(15; 18; 23),(6; 8; 12; 14),(15; 18; 23)
4,27,investigacion operativa,,(17; 20),10,(17; 20)
4,28,simulacion,,(17; 20),10,(17; 20)
4,29,ingenieria de software,,(17; 18; 21),(12; 13; 14),(17; 18; 21)
4,30,teoria de control,,(9; 20),(10; 11),(9; 20)
4,31,legislacion,,(12; 22),(4; 5),(12; 22)
5,32,proyecto final,,(25; 26; 29; 31),(15; 16; 17; 18; 1; 21; 22; 23; 24),all
5,33,inteligencia artificial,,(27; 28),(17; 18; 20),(27; 28)
5,34,administracion gerencial,,(26; 27),(15; 17; 18; 20; 23),(26; 27)
5,35,sistemas de gestion,,(26; 27; 28),(15; 17; 18; 20; 23),(26; 27; 28)
